MC	<p>001. 3a46</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">45&ndash;57</td>  <td align="center" style="vert-align: middle; border: solid black 1px">10.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">35&ndash;53</td>  <td align="center" style="vert-align: middle; border: solid black 1px">2.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">70&ndash;85</td>  <td align="center" style="vert-align: middle; border: solid black 1px">8.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">60&ndash;68</td>  <td align="center" style="vert-align: middle; border: solid black 1px">5.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 64&deg;C and the pH is 4.8.</p>	A.  Enzyme A&nbsp; 	Incorrect	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Incorrect	D.  Enzyme D&nbsp; 	Correct
MC	<p>012. 0920</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">30&ndash;42</td>  <td align="center" style="vert-align: middle; border: solid black 1px">7.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">15&ndash;25</td>  <td align="center" style="vert-align: middle; border: solid black 1px">1.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">45&ndash;55</td>  <td align="center" style="vert-align: middle; border: solid black 1px">9.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">75&ndash;85</td>  <td align="center" style="vert-align: middle; border: solid black 1px">5.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 33&deg;C and the pH is 6.6.</p>	A.  Enzyme A&nbsp; 	Correct	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Incorrect	D.  Enzyme D&nbsp; 	Incorrect
MC	<p>013. bd83</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">45&ndash;57</td>  <td align="center" style="vert-align: middle; border: solid black 1px">9.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">30&ndash;48</td>  <td align="center" style="vert-align: middle; border: solid black 1px">6.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">75&ndash;85</td>  <td align="center" style="vert-align: middle; border: solid black 1px">3.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">15&ndash;25</td>  <td align="center" style="vert-align: middle; border: solid black 1px">1.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 76&deg;C and the pH is 3.2.</p>	A.  Enzyme A&nbsp; 	Incorrect	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Correct	D.  Enzyme D&nbsp; 	Incorrect
MC	<p>014. a6cc</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">70&ndash;78</td>  <td align="center" style="vert-align: middle; border: solid black 1px">10.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">20&ndash;30</td>  <td align="center" style="vert-align: middle; border: solid black 1px">7.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">55&ndash;73</td>  <td align="center" style="vert-align: middle; border: solid black 1px">2.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">40&ndash;50</td>  <td align="center" style="vert-align: middle; border: solid black 1px">5.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 72&deg;C and the pH is 9.8.</p>	A.  Enzyme A&nbsp; 	Correct	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Incorrect	D.  Enzyme D&nbsp; 	Incorrect
MC	<p>015. 16b9</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">65&ndash;75</td>  <td align="center" style="vert-align: middle; border: solid black 1px">2.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">45&ndash;55</td>  <td align="center" style="vert-align: middle; border: solid black 1px">10.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">25&ndash;37</td>  <td align="center" style="vert-align: middle; border: solid black 1px">6.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">15&ndash;30</td>  <td align="center" style="vert-align: middle; border: solid black 1px">8.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 66&deg;C and the pH is 2.4.</p>	A.  Enzyme A&nbsp; 	Correct	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Incorrect	D.  Enzyme D&nbsp; 	Incorrect
MC	<p>016. 192b</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">50&ndash;65</td>  <td align="center" style="vert-align: middle; border: solid black 1px">1.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">40&ndash;58</td>  <td align="center" style="vert-align: middle; border: solid black 1px">7.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">15&ndash;25</td>  <td align="center" style="vert-align: middle; border: solid black 1px">5.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">30&ndash;40</td>  <td align="center" style="vert-align: middle; border: solid black 1px">10.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 35&deg;C and the pH is 9.8.</p>	A.  Enzyme A&nbsp; 	Incorrect	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Incorrect	D.  Enzyme D&nbsp; 	Correct
MC	<p>017. 6096</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">60&ndash;68</td>  <td align="center" style="vert-align: middle; border: solid black 1px">5.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">30&ndash;40</td>  <td align="center" style="vert-align: middle; border: solid black 1px">3.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">15&ndash;33</td>  <td align="center" style="vert-align: middle; border: solid black 1px">10.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">70&ndash;80</td>  <td align="center" style="vert-align: middle; border: solid black 1px">1.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 31&deg;C and the pH is 10.4.</p>	A.  Enzyme A&nbsp; 	Incorrect	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Correct	D.  Enzyme D&nbsp; 	Incorrect
MC	<p>018. 1098</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">70&ndash;85</td>  <td align="center" style="vert-align: middle; border: solid black 1px">10.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">55&ndash;67</td>  <td align="center" style="vert-align: middle; border: solid black 1px">5.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">25&ndash;35</td>  <td align="center" style="vert-align: middle; border: solid black 1px">8.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">45&ndash;55</td>  <td align="center" style="vert-align: middle; border: solid black 1px">2.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 34&deg;C and the pH is 8.0.</p>	A.  Enzyme A&nbsp; 	Incorrect	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Correct	D.  Enzyme D&nbsp; 	Incorrect
MC	<p>019. b254</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">70&ndash;82</td>  <td align="center" style="vert-align: middle; border: solid black 1px">4.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">45&ndash;53</td>  <td align="center" style="vert-align: middle; border: solid black 1px">2.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">20&ndash;30</td>  <td align="center" style="vert-align: middle; border: solid black 1px">9.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">55&ndash;70</td>  <td align="center" style="vert-align: middle; border: solid black 1px">7.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 48&deg;C and the pH is 1.8.</p>	A.  Enzyme A&nbsp; 	Incorrect	B.  Enzyme B&nbsp; 	Correct	C.  Enzyme C&nbsp; 	Incorrect	D.  Enzyme D&nbsp; 	Incorrect
MC	<p>020. c68a</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">20&ndash;32</td>  <td align="center" style="vert-align: middle; border: solid black 1px">4.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">70&ndash;85</td>  <td align="center" style="vert-align: middle; border: solid black 1px">9.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">40&ndash;50</td>  <td align="center" style="vert-align: middle; border: solid black 1px">1.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">60&ndash;68</td>  <td align="center" style="vert-align: middle; border: solid black 1px">6.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 45&deg;C and the pH is 1.4.</p>	A.  Enzyme A&nbsp; 	Incorrect	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Correct	D.  Enzyme D&nbsp; 	Incorrect
MC	<p>021. 2a33</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">50&ndash;65</td>  <td align="center" style="vert-align: middle; border: solid black 1px">10.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">75&ndash;85</td>  <td align="center" style="vert-align: middle; border: solid black 1px">8.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">20&ndash;28</td>  <td align="center" style="vert-align: middle; border: solid black 1px">2.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">30&ndash;42</td>  <td align="center" style="vert-align: middle; border: solid black 1px">5.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 27&deg;C and the pH is 2.0.</p>	A.  Enzyme A&nbsp; 	Incorrect	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Correct	D.  Enzyme D&nbsp; 	Incorrect
MC	<p>022. 75e8</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">15&ndash;23</td>  <td align="center" style="vert-align: middle; border: solid black 1px">5.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">75&ndash;85</td>  <td align="center" style="vert-align: middle; border: solid black 1px">1.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">60&ndash;75</td>  <td align="center" style="vert-align: middle; border: solid black 1px">9.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">35&ndash;45</td>  <td align="center" style="vert-align: middle; border: solid black 1px">7.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 81&deg;C and the pH is 0.8.</p>	A.  Enzyme A&nbsp; 	Incorrect	B.  Enzyme B&nbsp; 	Correct	C.  Enzyme C&nbsp; 	Incorrect	D.  Enzyme D&nbsp; 	Incorrect
MC	<p>023. cc39</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">20&ndash;32</td>  <td align="center" style="vert-align: middle; border: solid black 1px">3.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">60&ndash;75</td>  <td align="center" style="vert-align: middle; border: solid black 1px">6.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">50&ndash;60</td>  <td align="center" style="vert-align: middle; border: solid black 1px">10.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">35&ndash;53</td>  <td align="center" style="vert-align: middle; border: solid black 1px">8.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 72&deg;C and the pH is 6.2.</p>	A.  Enzyme A&nbsp; 	Incorrect	B.  Enzyme B&nbsp; 	Correct	C.  Enzyme C&nbsp; 	Incorrect	D.  Enzyme D&nbsp; 	Incorrect
MC	<p>024. 5124</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">65&ndash;80</td>  <td align="center" style="vert-align: middle; border: solid black 1px">5.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">55&ndash;73</td>  <td align="center" style="vert-align: middle; border: solid black 1px">10.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">45&ndash;57</td>  <td align="center" style="vert-align: middle; border: solid black 1px">3.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">25&ndash;35</td>  <td align="center" style="vert-align: middle; border: solid black 1px">1.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 30&deg;C and the pH is 1.4.</p>	A.  Enzyme A&nbsp; 	Incorrect	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Incorrect	D.  Enzyme D&nbsp; 	Correct
MC	<p>025. d88d</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">25&ndash;35</td>  <td align="center" style="vert-align: middle; border: solid black 1px">8.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">75&ndash;83</td>  <td align="center" style="vert-align: middle; border: solid black 1px">3.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">50&ndash;68</td>  <td align="center" style="vert-align: middle; border: solid black 1px">5.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">15&ndash;25</td>  <td align="center" style="vert-align: middle; border: solid black 1px">1.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 31&deg;C and the pH is 7.6.</p>	A.  Enzyme A&nbsp; 	Correct	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Incorrect	D.  Enzyme D&nbsp; 	Incorrect
MC	<p>026. 990c</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">70&ndash;82</td>  <td align="center" style="vert-align: middle; border: solid black 1px">3.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">35&ndash;45</td>  <td align="center" style="vert-align: middle; border: solid black 1px">1.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">15&ndash;33</td>  <td align="center" style="vert-align: middle; border: solid black 1px">6.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">50&ndash;65</td>  <td align="center" style="vert-align: middle; border: solid black 1px">10.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 54&deg;C and the pH is 9.6.</p>	A.  Enzyme A&nbsp; 	Incorrect	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Incorrect	D.  Enzyme D&nbsp; 	Correct
MC	<p>027. d564</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">50&ndash;60</td>  <td align="center" style="vert-align: middle; border: solid black 1px">5.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">40&ndash;48</td>  <td align="center" style="vert-align: middle; border: solid black 1px">9.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">25&ndash;43</td>  <td align="center" style="vert-align: middle; border: solid black 1px">2.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">15&ndash;25</td>  <td align="center" style="vert-align: middle; border: solid black 1px">7.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 24&deg;C and the pH is 6.8.</p>	A.  Enzyme A&nbsp; 	Incorrect	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Incorrect	D.  Enzyme D&nbsp; 	Correct
MC	<p>028. d000</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">55&ndash;73</td>  <td align="center" style="vert-align: middle; border: solid black 1px">6.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">15&ndash;30</td>  <td align="center" style="vert-align: middle; border: solid black 1px">2.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">35&ndash;47</td>  <td align="center" style="vert-align: middle; border: solid black 1px">9.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">75&ndash;85</td>  <td align="center" style="vert-align: middle; border: solid black 1px">4.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 37&deg;C and the pH is 9.0.</p>	A.  Enzyme A&nbsp; 	Incorrect	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Correct	D.  Enzyme D&nbsp; 	Incorrect
