MC	<p>000. 7864</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkRed">A</span></strong> &rarr; <strong><span style="color: DarkOrange">B</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">C</span></strong> &rarr; <strong><span style="color: DarkGreen">D</span></strong>.</p> <p>Product <strong><span style="color: DarkGreen">D</span></strong> binds to the enzyme that converts <strong><span style="color: DarkRed">A</span></strong> &rarr; <strong><span style="color: DarkOrange">B</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGreen">D</span></strong> functions as?</p>	A.  activator&nbsp; 	Correct	B.  molecular stopper&nbsp; 	Incorrect	C.  non-competitive inhibitor&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Incorrect
MC	<p>011. 3ada</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkGoldenRod">L</span></strong> &rarr; <strong><span style="color: DarkGreen">M</span></strong> &rarr; <strong><span style="color: DarkCyan">N</span></strong> &rarr; <strong><span style="color: DarkBlue">O</span></strong>.</p> <p>Product <strong><span style="color: DarkBlue">O</span></strong> binds to the enzyme that converts <strong><span style="color: DarkGoldenRod">L</span></strong> &rarr; <strong><span style="color: DarkGreen">M</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkBlue">O</span></strong> functions as?</p>	A.  competitive inhibitor&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Incorrect	C.  activator&nbsp; 	Correct	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>012. ab66</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkGreen">M</span></strong> &rarr; <strong><span style="color: DarkCyan">N</span></strong> &rarr; <strong><span style="color: DarkBlue">O</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">P</span></strong>.</p> <p>Product <strong><span style="color: DarkSlateBlue">P</span></strong> binds to the enzyme that converts <strong><span style="color: DarkGreen">M</span></strong> &rarr; <strong><span style="color: DarkCyan">N</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkSlateBlue">P</span></strong> functions as?</p>	A.  competitive inhibitor&nbsp; 	Incorrect	B.  activator&nbsp; 	Correct	C.  molecular stopper&nbsp; 	Incorrect	D.  non-competitive inhibitor&nbsp; 	Incorrect
MC	<p>013. 08b2</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkCyan">N</span></strong> &rarr; <strong><span style="color: DarkBlue">O</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">P</span></strong> &rarr; <strong><span style="color: DarkMagenta">Q</span></strong>.</p> <p>Product <strong><span style="color: DarkMagenta">Q</span></strong> binds to the enzyme that converts <strong><span style="color: DarkCyan">N</span></strong> &rarr; <strong><span style="color: DarkBlue">O</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkMagenta">Q</span></strong> functions as?</p>	A.  competitive inhibitor&nbsp; 	Correct	B.  molecular stopper&nbsp; 	Incorrect	C.  non-competitive inhibitor&nbsp; 	Incorrect	D.  activator&nbsp; 	Incorrect
MC	<p>014. 6239</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkBlue">O</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">P</span></strong> &rarr; <strong><span style="color: DarkMagenta">Q</span></strong> &rarr; <strong><span style="color: DarkViolet">R</span></strong>.</p> <p>Product <strong><span style="color: DarkViolet">R</span></strong> binds to the enzyme that converts <strong><span style="color: DarkBlue">O</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">P</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkViolet">R</span></strong> functions as?</p>	A.  competitive inhibitor&nbsp; 	Incorrect	B.  activator&nbsp; 	Correct	C.  molecular stopper&nbsp; 	Incorrect	D.  non-competitive inhibitor&nbsp; 	Incorrect
MC	<p>015. 0078</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkSlateBlue">P</span></strong> &rarr; <strong><span style="color: DarkMagenta">Q</span></strong> &rarr; <strong><span style="color: DarkViolet">R</span></strong> &rarr; <strong><span style="color: DarkRed">S</span></strong>.</p> <p>Product <strong><span style="color: DarkRed">S</span></strong> binds to the enzyme that converts <strong><span style="color: DarkSlateBlue">P</span></strong> &rarr; <strong><span style="color: DarkMagenta">Q</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkRed">S</span></strong> functions as?</p>	A.  competitive inhibitor&nbsp; 	Incorrect	B.  activator&nbsp; 	Correct	C.  molecular stopper&nbsp; 	Incorrect	D.  non-competitive inhibitor&nbsp; 	Incorrect
MC	<p>016. 16e9</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkMagenta">Q</span></strong> &rarr; <strong><span style="color: DarkViolet">R</span></strong> &rarr; <strong><span style="color: DarkRed">S</span></strong> &rarr; <strong><span style="color: DarkOrange">T</span></strong>.</p> <p>Product <strong><span style="color: DarkOrange">T</span></strong> binds to the enzyme that converts <strong><span style="color: DarkMagenta">Q</span></strong> &rarr; <strong><span style="color: DarkViolet">R</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkOrange">T</span></strong> functions as?</p>	A.  activator&nbsp; 	Correct	B.  non-competitive inhibitor&nbsp; 	Incorrect	C.  competitive inhibitor&nbsp; 	Incorrect	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>017. 90d1</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkViolet">R</span></strong> &rarr; <strong><span style="color: DarkRed">S</span></strong> &rarr; <strong><span style="color: DarkOrange">T</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">U</span></strong>.</p> <p>Product <strong><span style="color: DarkGoldenRod">U</span></strong> binds to the enzyme that converts <strong><span style="color: DarkViolet">R</span></strong> &rarr; <strong><span style="color: DarkRed">S</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGoldenRod">U</span></strong> functions as?</p>	A.  activator&nbsp; 	Correct	B.  non-competitive inhibitor&nbsp; 	Incorrect	C.  competitive inhibitor&nbsp; 	Incorrect	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>018. cf61</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkRed">S</span></strong> &rarr; <strong><span style="color: DarkOrange">T</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">U</span></strong> &rarr; <strong><span style="color: DarkGreen">V</span></strong>.</p> <p>Product <strong><span style="color: DarkGreen">V</span></strong> binds to the enzyme that converts <strong><span style="color: DarkRed">S</span></strong> &rarr; <strong><span style="color: DarkOrange">T</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGreen">V</span></strong> functions as?</p>	A.  non-competitive inhibitor&nbsp; 	Incorrect	B.  activator&nbsp; 	Incorrect	C.  molecular stopper&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Correct
MC	<p>019. b58e</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkOrange">T</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">U</span></strong> &rarr; <strong><span style="color: DarkGreen">V</span></strong> &rarr; <strong><span style="color: DarkCyan">W</span></strong>.</p> <p>Product <strong><span style="color: DarkCyan">W</span></strong> binds to the enzyme that converts <strong><span style="color: DarkOrange">T</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">U</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkCyan">W</span></strong> functions as?</p>	A.  activator&nbsp; 	Incorrect	B.  competitive inhibitor&nbsp; 	Incorrect	C.  non-competitive inhibitor&nbsp; 	Correct	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>020. 5df2</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkGoldenRod">U</span></strong> &rarr; <strong><span style="color: DarkGreen">V</span></strong> &rarr; <strong><span style="color: DarkCyan">W</span></strong> &rarr; <strong><span style="color: DarkBlue">X</span></strong>.</p> <p>Product <strong><span style="color: DarkBlue">X</span></strong> binds to the enzyme that converts <strong><span style="color: DarkGoldenRod">U</span></strong> &rarr; <strong><span style="color: DarkGreen">V</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkBlue">X</span></strong> functions as?</p>	A.  activator&nbsp; 	Correct	B.  molecular stopper&nbsp; 	Incorrect	C.  competitive inhibitor&nbsp; 	Incorrect	D.  non-competitive inhibitor&nbsp; 	Incorrect
MC	<p>021. b720</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkGreen">V</span></strong> &rarr; <strong><span style="color: DarkCyan">W</span></strong> &rarr; <strong><span style="color: DarkBlue">X</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">Y</span></strong>.</p> <p>Product <strong><span style="color: DarkSlateBlue">Y</span></strong> binds to the enzyme that converts <strong><span style="color: DarkGreen">V</span></strong> &rarr; <strong><span style="color: DarkCyan">W</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkSlateBlue">Y</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  competitive inhibitor&nbsp; 	Incorrect	C.  non-competitive inhibitor&nbsp; 	Incorrect	D.  activator&nbsp; 	Correct
MC	<p>022. 1f9e</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkCyan">A</span></strong> &rarr; <strong><span style="color: DarkBlue">B</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">C</span></strong> &rarr; <strong><span style="color: DarkMagenta">D</span></strong>.</p> <p>Product <strong><span style="color: DarkMagenta">D</span></strong> binds to the enzyme that converts <strong><span style="color: DarkCyan">A</span></strong> &rarr; <strong><span style="color: DarkBlue">B</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkMagenta">D</span></strong> functions as?</p>	A.  non-competitive inhibitor&nbsp; 	Incorrect	B.  molecular stopper&nbsp; 	Incorrect	C.  competitive inhibitor&nbsp; 	Incorrect	D.  activator&nbsp; 	Correct
MC	<p>023. c903</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkBlue">B</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">C</span></strong> &rarr; <strong><span style="color: DarkMagenta">D</span></strong> &rarr; <strong><span style="color: DarkViolet">E</span></strong>.</p> <p>Product <strong><span style="color: DarkViolet">E</span></strong> binds to the enzyme that converts <strong><span style="color: DarkBlue">B</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">C</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkViolet">E</span></strong> functions as?</p>	A.  competitive inhibitor&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Correct	C.  molecular stopper&nbsp; 	Incorrect	D.  activator&nbsp; 	Incorrect
MC	<p>024. d592</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkSlateBlue">C</span></strong> &rarr; <strong><span style="color: DarkMagenta">D</span></strong> &rarr; <strong><span style="color: DarkViolet">E</span></strong> &rarr; <strong><span style="color: DarkRed">F</span></strong>.</p> <p>Product <strong><span style="color: DarkRed">F</span></strong> binds to the enzyme that converts <strong><span style="color: DarkSlateBlue">C</span></strong> &rarr; <strong><span style="color: DarkMagenta">D</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkRed">F</span></strong> functions as?</p>	A.  activator&nbsp; 	Incorrect	B.  molecular stopper&nbsp; 	Incorrect	C.  non-competitive inhibitor&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Correct
MC	<p>025. df51</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkMagenta">D</span></strong> &rarr; <strong><span style="color: DarkViolet">E</span></strong> &rarr; <strong><span style="color: DarkRed">F</span></strong> &rarr; <strong><span style="color: DarkOrange">G</span></strong>.</p> <p>Product <strong><span style="color: DarkOrange">G</span></strong> binds to the enzyme that converts <strong><span style="color: DarkMagenta">D</span></strong> &rarr; <strong><span style="color: DarkViolet">E</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkOrange">G</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  competitive inhibitor&nbsp; 	Incorrect	C.  non-competitive inhibitor&nbsp; 	Incorrect	D.  activator&nbsp; 	Correct
MC	<p>026. 6603</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkViolet">E</span></strong> &rarr; <strong><span style="color: DarkRed">F</span></strong> &rarr; <strong><span style="color: DarkOrange">G</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">H</span></strong>.</p> <p>Product <strong><span style="color: DarkGoldenRod">H</span></strong> binds to the enzyme that converts <strong><span style="color: DarkViolet">E</span></strong> &rarr; <strong><span style="color: DarkRed">F</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGoldenRod">H</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Incorrect	C.  activator&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Correct
MC	<p>027. 50dc</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkRed">F</span></strong> &rarr; <strong><span style="color: DarkOrange">G</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">H</span></strong> &rarr; <strong><span style="color: DarkGreen">I</span></strong>.</p> <p>Product <strong><span style="color: DarkGreen">I</span></strong> binds to the enzyme that converts <strong><span style="color: DarkRed">F</span></strong> &rarr; <strong><span style="color: DarkOrange">G</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGreen">I</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  activator&nbsp; 	Correct	C.  non-competitive inhibitor&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Incorrect
MC	<p>028. 75a7</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkOrange">G</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">H</span></strong> &rarr; <strong><span style="color: DarkGreen">I</span></strong> &rarr; <strong><span style="color: DarkCyan">J</span></strong>.</p> <p>Product <strong><span style="color: DarkCyan">J</span></strong> binds to the enzyme that converts <strong><span style="color: DarkOrange">G</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">H</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkCyan">J</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  activator&nbsp; 	Incorrect	C.  non-competitive inhibitor&nbsp; 	Correct	D.  competitive inhibitor&nbsp; 	Incorrect
MC	<p>029. 4d60</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkGoldenRod">H</span></strong> &rarr; <strong><span style="color: DarkGreen">I</span></strong> &rarr; <strong><span style="color: DarkCyan">J</span></strong> &rarr; <strong><span style="color: DarkBlue">K</span></strong>.</p> <p>Product <strong><span style="color: DarkBlue">K</span></strong> binds to the enzyme that converts <strong><span style="color: DarkGoldenRod">H</span></strong> &rarr; <strong><span style="color: DarkGreen">I</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkBlue">K</span></strong> functions as?</p>	A.  activator&nbsp; 	Incorrect	B.  competitive inhibitor&nbsp; 	Correct	C.  molecular stopper&nbsp; 	Incorrect	D.  non-competitive inhibitor&nbsp; 	Incorrect
MC	<p>030. 0373</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkGreen">I</span></strong> &rarr; <strong><span style="color: DarkCyan">J</span></strong> &rarr; <strong><span style="color: DarkBlue">K</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">L</span></strong>.</p> <p>Product <strong><span style="color: DarkSlateBlue">L</span></strong> binds to the enzyme that converts <strong><span style="color: DarkGreen">I</span></strong> &rarr; <strong><span style="color: DarkCyan">J</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkSlateBlue">L</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Correct	C.  activator&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Incorrect
MC	<p>031. fb9b</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkCyan">J</span></strong> &rarr; <strong><span style="color: DarkBlue">K</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">L</span></strong> &rarr; <strong><span style="color: DarkMagenta">M</span></strong>.</p> <p>Product <strong><span style="color: DarkMagenta">M</span></strong> binds to the enzyme that converts <strong><span style="color: DarkCyan">J</span></strong> &rarr; <strong><span style="color: DarkBlue">K</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkMagenta">M</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Incorrect	C.  competitive inhibitor&nbsp; 	Incorrect	D.  activator&nbsp; 	Correct
